;avec Energystarscore ;;;;Sans Energystarscore;;;;Impact ;;
;Modele;MSE;RMSE;R2;MSE;RMSE;R2;;MSE;RMSE;R2
2;KRR linear train;1.37;1.17;0.76;1.55;1.25;0.73;;-0.18;-0.08;0.03
3;KRR linear test;1.98;1.41;0.66;1.84;1.36;0.69;;0.14;0.05;-0.03
10;Ramdom Forest train;0.14;0.37;0.98;0.14;0.37;0.98;;0;0;0
11;Ramdom Forest test;2.81;1.68;0.52;2.78;1.67;0.52;;0.03;0.01;0
12;Bagging Tree train;0.21;0.46;0.96;0.18;0.43;0.97;;0.03;0.03;-0.01
13;Bagging Tree test;3.21;1.79;0.45;3.01;1.74;0.49;;0.2;0.05;-0.04
16;GBoost regression train;0.14;0.38;0.98;0.14;0.38;0.98;;0;0;0
17;GBoost regression test;2.92;1.71;0.5;2.94;1.71;0.5;;-0.02;0;0
18;Arbre de decision train;0.14;0.38;0.98;0.14;0.38;0.98;;0;0;0
19;Arbre de decision test;2.73;1.65;0.53;2.74;1.65;0.53;;-0.01;0;0
23;;;;;;;;;;;
